score,shot_type,hit_points,miss_points,big_miss_points,dart
30,double,30,15,0,one
29,single,5,,,one
28,double,28,14,0,one
27,single,3,,,one
26,double,26,13,0,one
25,single,9,,,one
24,double,24,12,0,one
23,single,7,,,one
22,double,22,11,0,one
21,single,5,,,one
20,double,20,10,0,one
19,single,3,,,one
18,double,18,9,0,one
17,single,1,,,one
16,double,16,8,0,one
15,single,7,,,one
14,double,14,7,0,one
13,single,5,,,one
12,double,12,6,0,one
11,single,3,,,one
10,double,10,5,0,one
9,single,1,,,one
8,double,8,4,0,one
7,single,3,,,one
6,double,6,3,0,one
5,single,1,,,one
4,double,4,2,0,one
3,single,1,,,one
2,double,2,1,0,one
249,treble,57,19,10,two
248,treble,57,19,10,two
247,treble,60,20,6,two
246,treble,57,19,10,two
245,treble,57,19,10,two
244,treble,60,20,6,two
243,treble,57,19,10,two
242,treble,57,19,10,two
241,treble,60,20,6,two
240,treble,60,20,6,two
239,treble,57,19,10,two
238,treble,60,20,6,two
237,treble,60,20,6,two
236,treble,60,20,6,two
235,treble,60,20,6,two
234,treble,60,20,6,two
233,treble,60,20,6,two
232,treble,60,20,6,two
231,treble,60,20,6,two
230,treble,60,20,6,two
229,treble,60,20,6,two
228,treble,60,20,6,two
227,treble,60,20,6,two
226,treble,60,20,6,two
225,treble,60,20,6,two
224,treble,60,20,6,two
223,treble,60,20,6,two
222,treble,60,20,6,two
221,treble,60,20,6,two
220,treble,60,20,6,two
219,treble,60,20,6,two
218,treble,60,20,6,two
217,treble,60,20,6,two
216,treble,60,20,6,two
215,treble,60,20,6,two
214,treble,60,20,6,two
213,treble,60,20,6,two
212,treble,60,20,6,two
211,treble,60,20,6,two
210,treble,60,20,6,two
209,treble,60,20,6,two
208,treble,60,20,6,two
207,treble,60,20,6,two
206,treble,60,20,6,two
205,treble,60,20,6,two
204,treble,60,20,6,two
203,treble,60,20,6,two
202,treble,60,20,6,two
201,treble,60,20,6,two
200,treble,60,20,6,two
199,treble,60,20,6,two
198,treble,60,20,6,two
197,treble,60,20,6,two
196,treble,60,20,6,two
195,treble,60,20,6,two
194,treble,60,20,6,two
193,treble,60,20,6,two
192,treble,60,20,6,two
191,treble,60,20,6,two
190,treble,60,20,6,two
189,treble,60,20,6,two
188,treble,60,20,6,two
187,treble,60,20,6,two
186,treble,60,20,6,two
185,treble,60,20,6,two
184,treble,60,20,6,two
183,treble,60,20,6,two
182,treble,60,20,6,two
181,treble,60,20,6,two
180,treble,60,20,6,two
179,treble,60,20,6,two
178,treble,60,20,6,two
177,treble,60,20,6,two
176,treble,60,20,6,two
175,treble,60,20,6,two
174,treble,60,20,6,two
173,treble,60,20,6,two
172,treble,60,20,6,two
171,treble,60,20,6,two
170,treble,60,20,6,two
169,treble,60,20,6,two
168,treble,60,20,6,two
167,treble,60,20,6,two
166,treble,60,20,6,two
165,treble,60,20,6,two
164,treble,60,20,6,two
163,treble,60,20,6,two
162,treble,60,20,6,two
161,treble,60,20,6,two
160,treble,60,20,6,two
159,treble,60,20,6,two
158,treble,60,20,6,two
157,treble,60,20,6,two
156,treble,60,20,6,two
155,treble,60,20,6,two
154,treble,60,20,6,two
153,treble,60,20,6,two
152,treble,60,20,6,two
151,treble,60,20,6,two
150,treble,60,20,6,two
149,treble,60,20,6,two
148,treble,60,20,6,two
147,treble,60,20,6,two
146,treble,60,20,6,two
145,treble,60,20,6,two
144,treble,60,20,6,two
143,treble,60,20,6,two
142,treble,60,20,6,two
141,treble,60,20,6,two
140,treble,60,20,6,two
139,treble,60,20,6,two
138,treble,60,20,6,two
137,treble,60,20,6,two
136,treble,60,20,6,two
135,treble,57,19,10,two
134,treble,60,20,6,two
133,treble,57,19,10,two
132,treble,60,20,6,two
131,treble,57,19,10,two
130,treble,60,20,6,two
129,treble,57,19,10,two
128,treble,60,20,6,two
127,treble,57,19,10,two
126,treble,60,20,6,two
125,treble,57,19,10,two
124,treble,60,20,6,two
123,treble,57,19,10,two
122,treble,60,20,6,two
121,treble,57,19,10,two
120,treble,60,20,6,two
119,treble,57,19,10,two
118,treble,60,20,6,two
117,treble,57,19,10,two
116,treble,60,20,6,two
115,treble,57,19,10,two
114,treble,60,20,6,two
113,treble,57,19,10,two
112,treble,60,20,6,two
111,treble,57,19,10,two
110,treble,60,20,6,two
109,treble,57,19,10,two
108,treble,60,20,6,two
107,treble,57,19,10,two
106,treble,60,20,6,two
105,treble,60,20,6,two
104,treble,54,18,5,two
103,treble,57,19,10,two
102,treble,60,20,6,two
101,treble,51,17,5,two
100,treble,60,20,6,two
99,treble,57,19,10,two
98,treble,60,20,6,two
97,treble,57,19,10,two
96,treble,60,20,6,two
95,treble,57,19,10,two
94,treble,54,18,5,two
93,treble,57,19,10,two
92,treble,60,20,6,two
91,treble,51,17,5,two
90,treble,54,18,5,two
89,treble,57,19,10,two
88,treble,60,20,6,two
87,treble,51,17,5,two
86,treble,54,18,5,two
85,treble,45,15,12,two
84,treble,60,20,6,two
83,treble,51,17,5,two
82,treble,42,14,20,two
81,treble,45,15,12,two
80,treble,60,20,6,two
79,treble,57,19,10,two
78,treble,54,18,5,two
77,treble,57,19,10,two
76,treble,60,20,6,two
75,treble,51,17,5,two
74,treble,42,14,20,two
73,treble,57,19,10,two
72,treble,48,16,15,two
71,treble,39,13,10,two
70,treble,60,20,5,two
69,treble,57,19,10,two
68,treble,54,18,5,two
67,treble,51,17,5,two
66,treble,48,16,15,two
65,treble,45,15,12,two
64,treble,42,14,20,two
63,treble,39,13,10,two
62,treble,36,12,14,two
61,treble,33,11,22,two
60,single,20,,,two
59,single,19,,,two
58,single,18,,,two
57,single,17,,,two
56,single,16,,,two
55,single,15,,,two
54,single,14,,,two
53,single,13,,,two
52,single,12,,,two
51,single,11,,,two
50,single,10,,,two
49,single,9,,,two
48,single,8,,,two
47,single,15,,,two
46,single,14,,,two
45,single,13,,,two
44,single,12,,,two
43,single,11,,,two
42,single,10,,,two
41,single,9,,,two
40,double,40,20,0,two
39,single,7,,,two
38,double,38,19,0,two
37,single,5,,,two
36,double,36,18,0,two
35,single,3,,,two
34,double,34,17,0,two
33,single,1,,,two
32,double,32,16,0,two
31,single,7,,,two
30,double,30,15,0,two
29,single,5,,,two
28,double,28,14,0,two
27,single,3,,,two
26,double,26,13,0,two
25,single,9,,,two
24,double,24,12,0,two
23,single,7,,,two
22,double,22,11,0,two
21,single,5,,,two
20,double,20,10,0,two
19,single,3,,,two
18,double,18,9,0,two
17,single,1,,,two
16,double,16,8,0,two
15,single,7,,,two
14,double,14,7,0,two
13,single,5,,,two
12,double,12,6,0,two
11,single,3,,,two
10,double,10,5,0,two
9,single,1,,,two
8,double,8,4,0,two
7,single,3,,,two
6,double,6,3,0,two
5,single,1,,,two
4,double,4,2,0,two
3,single,1,,,two
2,double,2,1,0,two
249,treble,57,19,10,three
248,treble,60,20,6,three
247,treble,60,20,6,three
246,treble,60,20,6,three
245,treble,57,19,10,three
244,treble,60,20,6,three
243,treble,57,19,10,three
242,treble,20,10,6,three
241,treble,57,19,10,three
240,treble,60,20,6,three
239,treble,57,19,10,three
238,treble,60,20,6,three
237,treble,57,19,10,three
236,treble,60,20,6,three
235,treble,60,20,6,three
234,treble,60,20,6,three
233,treble,60,20,6,three
232,treble,60,20,6,three
231,treble,57,19,10,three
230,treble,60,20,6,three
229,treble,60,20,6,three
228,treble,60,20,6,three
227,treble,60,20,6,three
226,treble,60,20,6,three
225,treble,60,20,6,three
224,treble,60,20,6,three
223,treble,60,20,6,three
222,treble,60,20,6,three
221,treble,57,19,10,three
220,bull,50,25,,three
219,treble,57,19,10,three
218,treble,60,20,6,three
217,treble,57,19,10,three
216,treble,60,20,6,three
215,treble,57,19,10,three
214,treble,60,20,6,three
213,treble,57,19,10,three
212,treble,60,20,6,three
211,treble,57,19,10,three
210,treble,60,20,6,three
209,treble,57,19,10,three
208,treble,60,20,6,three
207,treble,57,19,10,three
206,treble,60,20,6,three
205,treble,57,19,10,three
204,treble,60,20,6,three
203,treble,57,19,10,three
202,treble,60,20,6,three
201,treble,57,19,10,three
200,treble,60,20,6,three
199,treble,57,19,10,three
198,treble,60,20,6,three
197,treble,57,19,10,three
196,treble,60,20,6,three
195,treble,57,19,10,three
194,treble,60,20,6,three
193,treble,57,19,10,three
192,treble,60,20,6,three
191,treble,57,19,10,three
190,treble,60,20,6,three
189,treble,57,19,10,three
188,treble,54,18,5,three
187,treble,60,20,6,three
186,treble,57,19,10,three
185,treble,54,18,5,three
184,treble,60,20,6,three
183,treble,57,19,10,three
182,treble,54,18,5,three
181,treble,60,20,6,three
180,treble,60,20,6,three
179,treble,57,19,10,three
178,treble,60,20,6,three
177,treble,57,19,10,three
176,treble,60,20,6,three
175,treble,57,19,10,three
174,treble,60,20,6,three
173,treble,57,19,10,three
172,treble,60,20,6,three
171,treble,57,19,10,three
170,treble,60,20,6,three
169,treble,57,19,10,three
168,treble,60,20,6,three
167,treble,57,19,10,three
166,treble,60,20,6,three
165,treble,57,19,10,three
164,treble,60,20,6,three
163,treble,57,19,10,three
162,treble,60,20,6,three
161,treble,57,19,10,three
160,treble,60,20,6,three
159,treble,57,19,10,three
158,treble,60,20,6,three
157,treble,57,19,10,three
156,treble,60,20,6,three
155,treble,57,19,10,three
154,treble,60,20,6,three
153,treble,57,19,10,three
152,treble,60,20,6,three
151,treble,57,19,10,three
150,treble,60,20,6,three
149,treble,57,19,10,three
148,treble,60,20,6,three
147,treble,57,19,10,three
146,treble,60,20,6,three
145,treble,57,19,10,three
144,treble,60,20,6,three
143,treble,57,19,10,three
142,treble,60,20,6,three
141,treble,57,19,10,three
140,treble,60,20,6,three
139,treble,57,19,10,three
138,treble,60,20,6,three
137,treble,57,19,10,three
136,treble,60,20,6,three
135,treble,57,19,10,three
134,treble,60,20,6,three
133,treble,57,19,10,three
132,treble,60,20,6,three
131,treble,57,19,10,three
130,treble,60,20,6,three
129,treble,57,19,10,three
128,treble,60,20,6,three
127,treble,57,19,10,three
126,treble,60,20,6,three
125,treble,57,19,10,three
124,treble,60,20,6,three
123,treble,57,19,10,three
122,treble,60,20,6,three
121,treble,57,19,10,three
120,treble,60,20,6,three
119,treble,57,19,10,three
118,treble,60,20,6,three
117,treble,57,19,10,three
116,treble,60,20,6,three
115,treble,57,19,10,three
114,treble,60,20,6,three
113,treble,57,19,10,three
112,treble,60,20,6,three
111,treble,57,19,10,three
110,treble,60,20,6,three
109,treble,57,19,10,three
108,treble,60,20,6,three
107,treble,57,19,10,three
106,treble,60,20,6,three
105,treble,57,19,10,three
104,treble,60,20,6,three
103,treble,57,19,10,three
102,treble,60,20,6,three
101,treble,57,19,10,three
100,treble,60,20,6,three
99,treble,57,19,10,three
98,treble,60,20,6,three
97,treble,57,19,10,three
96,treble,60,20,6,three
95,treble,57,19,10,three
94,treble,60,20,6,three
93,treble,57,19,10,three
92,treble,60,20,10,three
91,treble,51,17,5,three
90,treble,54,18,5,three
89,treble,57,19,10,three
88,treble,60,20,6,three
87,treble,51,17,5,three
86,treble,54,18,5,three
85,treble,45,15,12,three
84,treble,60,20,6,three
83,treble,51,17,5,three
82,bull,42,14,20,three
81,treble,45,15,12,three
80,treble,60,20,6,three
79,treble,57,19,10,three
78,treble,54,18,5,three
77,treble,57,19,10,three
76,treble,60,20,6,three
75,treble,51,17,5,three
74,treble,42,14,20,three
73,treble,57,19,10,three
72,treble,48,16,15,three
71,treble,39,13,10,three
70,treble,54,18,5,three
69,treble,45,15,12,three
68,treble,36,12,13,three
67,treble,51,17,5,three
66,treble,42,14,20,three
65,outer_bull,25,20,,three
64,treble,48,16,15,three
63,treble,39,13,10,three
62,treble,30,10,25,three
61,outer_bull,25,20,,three
60,single,20,,,three
59,single,19,,,three
58,single,18,,,three
57,single,17,,,three
56,single,16,,,three
55,single,15,,,three
54,single,14,,,three
53,single,13,,,three
52,single,12,,,three
51,single,11,,,three
50,single,10,,,three
49,single,9,,,three
48,single,8,,,three
47,single,15,,,three
46,single,14,,,three
45,single,13,,,three
44,single,12,,,three
43,single,11,,,three
42,single,10,,,three
41,single,9,,,three
40,double,40,20,0,three
39,single,7,,,three
38,double,38,19,0,three
37,single,5,,,three
36,double,36,18,0,three
35,single,3,,,three
34,double,34,17,0,three
33,single,1,,,three
32,double,32,16,0,three
31,single,7,,,three
30,double,30,15,0,three
29,single,5,,,three
28,double,28,14,0,three
27,single,3,,,three
26,double,26,13,0,three
25,single,9,,,three
24,double,24,12,0,three
23,single,7,,,three
22,double,22,11,0,three
21,single,5,,,three
20,double,20,10,0,three
19,single,3,,,three
18,double,18,9,0,three
17,single,1,,,three
16,double,16,8,0,three
15,single,7,,,three
14,double,14,7,0,three
13,single,5,,,three
12,double,12,6,0,three
11,single,3,,,three
10,double,10,5,0,three
9,single,1,,,three
8,double,8,4,0,three
7,single,3,,,three
6,double,6,3,0,three
5,single,1,,,three
4,double,4,2,0,three
3,single,1,,,three
2,double,2,1,0,three
